time,wx,wy,wz
17.328484058380127,-0.43,-0.51,-0.38
17.348552227020264,-0.46,0.01,-0.33
17.350361347198486,-0.46,0.01,-0.33
17.35828423500061,-0.48,0.32,-0.31
17.36791229248047,-0.53,0.38,-0.28
17.377915143966675,-0.54,0.16,-0.27
17.387771129608154,-0.54,-0.2,-0.27
17.39759111404419,-0.57,-0.41,-0.29
17.40816020965576,-0.58,-0.35,-0.28
17.41746711730957,-0.58,-0.04,-0.31
17.427805185317993,-0.59,0.37,-0.39
17.44912314414978,-0.64,0.48,-0.52
17.45015001296997,-0.64,0.48,-0.52
17.4570472240448,-0.64,0.07,-0.55
17.467219352722168,-0.65,-0.45,-0.58
17.477158069610596,-0.69,-0.8,-0.59
17.487130165100098,-0.77,-0.77,-0.6
17.49679708480835,-0.86,-0.39,-0.6
17.50716733932495,-0.94,0.08,-0.63
17.517004013061523,-0.99,0.28,-0.68
17.527072191238403,-1.03,0.08,-0.72
17.547308206558228,-1.2,-0.47,-0.62
17.54886817932129,-1.2,-0.47,-0.62
17.55642604827881,-1.26,-0.3,-0.59
17.566434144973755,-1.32,0.14,-0.61
17.576476097106934,-1.34,0.54,-0.7
17.586666107177734,-1.35,0.64,-0.82
17.596273183822632,-1.39,0.4,-0.96
17.6062650680542,-1.45,0.04,-1.08
17.616079330444336,-1.51,-0.25,-1.18
17.626124143600464,-1.48,-0.3,-1.24
17.644282341003418,-1.42,-0.19,-1.24
17.64635133743286,-1.31,-0.08,-1.23
17.655776023864746,-1.2,-0.12,-1.22
17.665776252746582,-1.08,-0.28,-1.17
17.67570924758911,-0.91,-0.4,-1.01
17.685590267181396,-0.7,-0.4,-0.74
17.695569038391113,-0.47,-0.31,-0.48
17.705530166625977,-0.21,-0.17,-0.26
17.715514183044434,0.02,-0.03,-0.03
17.725601196289062,0.23,0.02,0.2
17.736387252807617,0.43,0.01,0.4
17.755949020385742,0.75,0.13,0.6
17.75788712501526,0.75,0.13,0.6
17.76515007019043,0.83,0.25,0.64
17.77506422996521,0.98,0.32,0.64
17.784934997558594,1.18,0.32,0.62
17.7949321269989,1.36,0.23,0.58
17.804787158966064,1.45,0.12,0.59
17.814808130264282,1.44,-0.02,0.63
17.824663162231445,1.44,-0.18,0.7
17.835670232772827,1.48,-0.4,0.83
17.854281187057495,1.6,-0.81,1.13
17.85698127746582,1.6,-0.81,1.13
17.864151000976562,1.61,-0.81,1.25
17.87472915649414,1.57,-0.49,1.27
17.884087085723877,1.47,0.14,1.27
17.8941912651062,1.36,0.76,1.28
17.904131174087524,1.32,1.11,1.29
17.9139142036438,1.29,1.03,1.31
17.924023151397705,1.22,0.56,1.38
17.933890342712402,1.18,-0.06,1.38
17.953135013580322,1.08,-0.17,1.16
17.955868244171143,1.08,-0.17,1.16
17.96331214904785,1.06,0.12,0.97
17.973525047302246,1.08,0.21,0.83
17.983429193496704,1.04,-0.08,0.77
17.993372201919556,1.0,-0.57,0.79
18.003242015838623,0.83,-0.89,0.84
18.013195037841797,0.65,-0.76,0.86
18.02323818206787,0.56,-0.33,0.85
18.03410816192627,0.53,0.14,0.83
18.051048278808594,0.52,0.36,0.85
18.05271005630493,0.42,0.26,0.93
18.06285333633423,0.25,0.04,1.01
18.07275414466858,0.09,0.14,1.04
18.082778215408325,0.07,0.67,0.9
18.09259819984436,0.2,1.36,0.59
18.10265827178955,0.34,1.77,0.31
18.112417221069336,0.38,1.6,0.2
18.122515201568604,0.32,0.93,0.2
18.134002208709717,0.24,0.09,0.15
18.15033221244812,0.11,-0.57,-0.04
18.15212631225586,-0.05,-0.86,-0.25
18.162476062774658,-0.11,-0.91,-0.34
18.172019004821777,-0.1,-0.79,-0.42
18.18189001083374,-0.1,-0.58,-0.4
18.192025184631348,-0.2,-0.43,-0.3
18.201738119125366,-0.24,-0.42,-0.24
18.211740016937256,-0.26,-0.46,-0.12
18.222007274627686,-0.33,-0.41,0.04
18.23179316520691,-0.42,-0.21,0.17
18.251010179519653,-0.51,0.13,0.27
18.25371503829956,-0.53,0.56,0.33
18.26126527786255,-0.55,0.9,0.39
18.271347045898438,-0.57,0.97,0.37
18.281246185302734,-0.47,0.76,0.25
18.29121732711792,-0.36,0.53,0.15
18.301149129867554,-0.31,0.44,0.11
18.311004161834717,-0.27,0.44,-0.03
18.3212251663208,-0.19,0.45,-0.19
18.331111192703247,-0.12,0.37,-0.31
18.350237131118774,-0.08,-0.31,-0.44
18.352898120880127,-0.08,-0.31,-0.44
18.36073613166809,0.0,-0.63,-0.42
18.370647192001343,0.1,-0.69,-0.31
18.38042116165161,0.16,-0.42,-0.17
18.390693187713623,0.21,0.11,-0.08
18.400328159332275,0.24,0.79,-0.09
